title,company,location,salary,skills,link,source
Associate Content Writer,PitchOnePR,Work from home,"₹ 3,00,000 - 4,00,000","Content Writing, English Proficiency (Written), Written Communication,   ",https://internshala.com/job/detail/remote-associate-content-writer-job-at-pitchonepr1746535218,Internshala
Robotics & STEM Engineer (Teaching Role),ROBO-G,Bangalore,"₹ 3,00,000 - 4,00,000","Arduino, C Programming, Python,",https://internshala.com/job/detail/fresher-robotics-stem-engineer-teaching-role-job-in-bangalore-at-robo-g1746534513,Internshala
Video Editor,Katsam Private Limited,Indore,"₹ 3,00,000 - 4,00,000","Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Video Editing, Video Making",https://internshala.com/job/detail/video-editor-job-in-indore-at-katsam-private-limited1746523964,Internshala
Field Sales Specialist,Wroffy Technologies Private Limited,Gurgaon,"₹ 3,00,000 - 4,00,000","English Proficiency (Spoken),   ",https://internshala.com/job/detail/field-sales-specialist-job-in-gurgaon-at-wroffy-technologies-private-limited1746512823,Internshala
Junior Social Media Marketing Executive,Focal Venture,Hyderabad,"₹ 3,00,000 - 4,00,000","Creative Writing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing,",https://internshala.com/job/detail/junior-social-media-marketing-executive-job-in-hyderabad-at-mayuri-tanna1746513880,Internshala
Digital Marketing Specialist,ICodejr,Mumbai,"₹ 3,00,000 - 4,00,000","Canva, Digital Marketing, Facebook Ads, Frontend development, Graphic Design, Search Engine Optimization (SEO), Web development, WordPress",https://internshala.com/job/detail/digital-marketing-specialist-job-in-mumbai-at-icodejr1746432270,Internshala
3D Printing Engineer,NANOFUSION,Hyderabad,"₹ 3,00,000 - 4,00,000","MS-Excel, SolidWorks,   ",https://internshala.com/job/detail/fresher-3d-printing-engineer-job-in-hyderabad-at-nanofusion1746277123,Internshala
Content & E-commerce Management Executive,Aesthetic Bodies And Lifestyle Private Limited,Delhi,"₹ 3,00,000 - 4,00,000","Client Relationship Management (CRM), E-commerce, English Proficiency (Spoken), English Proficiency (Written), Inventory Management, MS-Excel",https://internshala.com/job/detail/content-e-commerce-management-executive-job-in-delhi-at-aesthetic-bodies-and-lifestyle-private-limited1746272534,Internshala
PHP Developer,Infiniarc Innovations India PVT LTD,Work from home,"₹ 3,00,000 - 4,00,000","JavaScript, Laravel, PHP,   ",https://internshala.com/job/detail/remote-php-developer-job-at-infiniarc-innovations-india-pvt-ltd1746265296,Internshala
Domestic Operations Executive,Kareerly Solutions (OPC) Private Limited,Mumbai,"₹ 3,00,000 - 4,00,000","Coordination, Negotiation, Vendor Negotiation",https://internshala.com/job/detail/fresher-domestic-operations-executive-job-in-mumbai-at-kareerly-solutions-opc-private-limited1746253351,Internshala
Video Editor,Video Preneur Studios,Bhopal,"₹ 3,00,000 - 4,00,000","Adobe After Effects, Adobe Premiere Pro, Creativity, Storytelling, Video Editing, Video Making,   ",https://internshala.com/job/detail/video-editor-job-in-bhopal-at-video-preneur-studios1746119823,Internshala
Field Sales Executive,Paradigm Consultants And Resource Management Private Limited,Kurnool,"₹ 3,00,000 - 4,00,000","English Proficiency (Spoken), Field Sales, Sales, Sales Management,,, Life Insurance",https://internshala.com/job/detail/part-time-field-sales-executive-job-in-multiple-locations-at-paradigm-consultants-and-resource-management-private-limited1746101732,Internshala
Design Manager,Everything Design,Bangalore,"₹ 3,00,000 - 4,00,000","Design Thinking, Project Management, Time Management, UI & UX Design,,",https://internshala.com/job/detail/fresher-design-manager-job-in-bangalore-at-everything-design1746097584,Internshala
Business Development Executive,InfyBytes AI Labs Private Limited,Work from home,"₹ 3,00,000 - 4,00,000","English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken)",https://internshala.com/job/detail/fresher-remote-business-development-executive-job-at-infybytes-ai-labs-private-limited1746094614,Internshala
Business Development Manager,Alphawizz Technologies Private Limited,Indore,"₹ 3,00,000 - 4,00,000","B2B Sales, Lead Generation, Sales",https://internshala.com/job/detail/business-development-manager-job-in-indore-at-alphawizz-technologies-private-limited1746016411,Internshala
Civil Engineer,PSR Builders And Developers,Bangalore,"₹ 3,00,000 - 4,00,000","AutoCAD, Bar bending schedule/Schedule of bars, Construction Management, Quality Assurance/Quality Control (QA/QC)",https://internshala.com/job/detail/civil-engineer-job-in-bangalore-at-psr-builders-and-developers1745986479,Internshala
Brand Marketing Associate,The Souled Store,Mumbai,"₹ 3,00,000 - 4,00,000","Creativity, Effective Communication, Influencer Marketing, Planning, Social Media Marketing, Time Management,,, Life Insurance",https://internshala.com/job/detail/fresher-brand-marketing-associate-job-in-mumbai-at-the-souled-store1745946854,Internshala
Business Development Associate,Brandsamor Commerce LLP,Work from home,"₹ 3,00,000 - 4,00,000","English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Sales Management, Sales Support",https://internshala.com/job/detail/fresher-remote-business-development-associate-job-at-brandsamor-commerce-llp1745929056,Internshala
Video Editor,Ace Blend,Mumbai,"₹ 3,00,000 - 4,00,000","Adobe After Effects, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, DaVinci Resolve, Final Cut Pro, Motion Graphics, Video Making",https://internshala.com/job/detail/video-editor-job-in-mumbai-at-ace-blend1745925218,Internshala
Business Development Executive,AK Fusion And Creations,Delhi,"₹ 3,00,000 - 4,00,000","Customer Acquisition, Lead Generation, Market research, Negotiation",https://internshala.com/job/detail/business-development-executive-job-in-multiple-locations-at-ak-fusion-and-creations1745925210,Internshala
Marketing Executive,KK HOLDING LLP,Mumbai,"₹ 3,00,000 - 4,00,000","MS-Excel, MS-PowerPoint",https://internshala.com/job/detail/fresher-marketing-executive-job-in-mumbai-at-kk-holding-llp1745922072,Internshala
Junior Engineer,Intelligentia Labs Private Limited,Morena,"₹ 3,00,000 - 4,00,000","Logical reasoning, Teamwork, Time Management,   ",https://internshala.com/job/detail/fresher-junior-engineer-job-in-multiple-locations-at-intelligentia-labs-private-limited1745914794,Internshala
Junior Architect,Spacewise,Chennai,"₹ 3,00,000 - 4,00,000","Adobe Photoshop, AutoCAD, Enscape, Google SketchUp, Lumion, MS-Office",https://internshala.com/job/detail/junior-architect-job-in-chennai-at-spacewise1745914746,Internshala
Accounts Executive,MentorKart (DGguru Learning Solutions Private Limited),Faridabad,"₹ 3,00,000 - 4,00,000","Accounting, Advanced Excel, GST, Journal Entries",https://internshala.com/job/detail/fresher-accounts-executive-job-in-multiple-locations-at-mentorkart-dgguru-learning-solutions-private-limited1745914368,Internshala
Business Development Executive,InfyBytes AI Labs Private Limited,Work from home,"₹ 3,00,000 - 4,00,000","English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken)",https://internshala.com/job/detail/fresher-remote-business-development-executive-job-at-infybytes-ai-labs-private-limited1745901770,Internshala
Accounts Executive,MentorKart (DGguru Learning Solutions Private Limited),Faridabad,"₹ 3,00,000 - 4,00,000","Accounting, Advanced Excel, GST, Journal Entries, Taxation",https://internshala.com/job/detail/fresher-accounts-executive-job-in-multiple-locations-at-mentorkart-dgguru-learning-solutions-private-limited1745845777,Internshala
Freight Forwarding - Export Pricing,Stockarea,Chennai,"₹ 3,00,000 - 4,00,000","Logistics Management, Operations,",https://internshala.com/job/detail/fresher-freight-forwarding-export-pricing-job-in-chennai-at-stockarea1745828907,Internshala
Business Development Executive,InfyBytes AI Labs Private Limited,Work from home,"₹ 3,00,000 - 4,00,000","English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken)",https://internshala.com/job/detail/fresher-remote-business-development-executive-job-at-infybytes-ai-labs-private-limited1745819932,Internshala
Travel & Tourism Executive,Kiomoi,Noida,"₹ 3,00,000 - 4,00,000","Client Relationship, Holiday Package Design, Travel Itinerary Making, Travel Management,   ",https://internshala.com/job/detail/travel-tourism-executive-job-in-noida-at-kiomoi1745491638,Internshala
Inside Sales Executive,NicheBees Technosolutions Private Limited,Hyderabad,"₹ 3,00,000 - 4,00,000","Blogging, Content Marketing, Email Marketing, Google AdWords, Lead Generation, Search Engine Optimization (SEO),",https://internshala.com/job/detail/inside-sales-executive-job-in-hyderabad-at-nichebees-technosolutions-private-limited1745485616,Internshala
Telecaller Excecutive,National Pharma,Mumbai,"₹ 3,00,000 - 4,00,000",Effective Communication,https://internshala.com/job/detail/telecaller-excecutive-job-in-mumbai-at-national-pharma1745482807,Internshala
Senior Sales Manager,Boomcast Media Network Private Limited,Delhi,"₹ 3,00,000 - 4,00,000","Digital Marketing, Email Marketing, English Proficiency (Written), Social Media Marketing",https://internshala.com/job/detail/senior-sales-manager-job-in-multiple-locations-at-boomcast-media-network-private-limited1745398461,Internshala
Sales Coordinator,Tex Company,Gurgaon,"₹ 3,00,000 - 4,00,000","Effective Communication,",https://internshala.com/job/detail/sales-coordinator-job-in-gurgaon-at-shalu-sharma1745389918,Internshala
Videographer,Property First,Bangalore,"₹ 3,00,000 - 4,00,000","Lead Generation, Video Editing, Videography,   ",https://internshala.com/job/detail/videographer-job-in-bangalore-at-property-first1745324212,Internshala
Associate Accountant,WeMakeScholars,Secunderabad,"₹ 3,00,000 - 4,00,000","Accounting, Mathematics,",https://internshala.com/job/detail/associate-accountant-job-in-multiple-locations-at-wemakescholars1745322165,Internshala
Human Resources (HR) Executive,Lime Tree Hotels,Gurgaon,"₹ 3,00,000 - 4,00,000","English Proficiency (Written), MS-Office",https://internshala.com/job/detail/human-resources-hr-executive-job-in-gurgaon-at-lime-tree-hotels1745320625,Internshala
Front End Developer,MoLog Media & Advertising,Gurgaon,"₹ 3,00,000 - 4,00,000","Animation, CSS, Django, Framer, HTML, JavaScript, React, React Native, Redux, REST API, Socket.IO, Tailwind CSS, Vite,",https://internshala.com/job/detail/front-end-developer-job-in-gurgaon-at-molog-media-advertising1745310755,Internshala
Backend Developer,MoLog Media & Advertising,Faridabad,"₹ 3,00,000 - 4,00,000","Amazon S3, Amazon Web Services (AWS), Django, Java, MongoDB, MySQL, Node.js, Python, REST API, Socket.IO,   ",https://internshala.com/job/detail/backend-developer-job-in-multiple-locations-at-molog-media-advertising1745310066,Internshala
Event Management Executive,Kairos Konnect Inc,Gurgaon,"₹ 3,00,000 - 4,00,000","English Proficiency (Spoken), Event Management, MS-Office,   ",https://internshala.com/job/detail/fresher-event-management-executive-job-in-gurgaon-at-kairos-konnect-inc1745252506,Internshala
Business Development Executive,Counsel Union,Faridabad,"₹ 3,00,000 - 4,00,000","Customer Support, Sales, Sales Strategy",https://internshala.com/job/detail/fresher-business-development-executive-job-in-multiple-locations-at-counsel-union1745252375,Internshala
Agile Business Analyst,Softsensor.ai,Jaipur,"₹ 3,00,000 - 4,00,000","Jira, Wireframing,",https://internshala.com/job/detail/fresher-agile-business-analyst-intern-to-full-job-in-jaipur-at-softsensorai1745227625,Internshala
Senior UI/UX Designer,GR Silver Design International,Jaipur,"₹ 3,00,000 - 4,00,000","CSS, Figma, HTML, UI & UX Design",https://internshala.com/job/detail/senior-ui-ux-designer-job-in-jaipur-at-gr-silver-design-international1745218408,Internshala
Video Editor,GIGL Summaries,Work from home,"₹ 3,00,000 - 4,00,000","Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Final Cut Pro, Video Editing, Video Making",https://internshala.com/job/detail/remote-video-editor-job-at-gigl-summaries1744979487,Internshala
Associate Video Editor,Samarik Digital (Samarik Tech India Private Limited),Work from home,"₹ 3,00,000 - 4,00,000","Adobe After Effects, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro",https://internshala.com/job/detail/remote-associate-video-editor-job-at-samarik-digital-samarik-tech-india-private-limited1744965707,Internshala
Teacher,Code Library,Work from home,"₹ 3,00,000 - 4,00,000","CSS, Effective Communication, English Proficiency (Spoken), English Proficiency (Written), HTML, JavaScript, Mathematics, Online Teaching, Python, Teaching",https://internshala.com/job/detail/remote-teacher-job-at-code-library1744958169,Internshala
Business Development Executive,InfyBytes AI Labs Private Limited,Work from home,"₹ 3,00,000 - 4,00,000","English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken)",https://internshala.com/job/detail/fresher-remote-business-development-executive-job-at-infybytes-ai-labs-private-limited1744945628,Internshala
Film Production Supervisor,ABSOLUTE RG EQUIPMENT PVT LTD,Vadodara,"₹ 3,00,000 - 4,00,000","AutoCAD, MS-Office, Cab/Transportation facility,",https://internshala.com/job/detail/fresher-film-production-supervisor-job-in-vadodara-at-absolute-rg-equipment-pvt-ltd1744878625,Internshala
Sales Engineer,Marut Air Systems Private Limited,Ahmedabad,"₹ 3,00,000 - 4,00,000","Client Interaction, Client Relationship, Effective Communication, Negotiations, Sales Management, Technical Analysis",https://internshala.com/job/detail/sales-engineer-job-in-ahmedabad-at-marut-air-systems-private-limited1744722117,Internshala
Academic Counselor,ACS Networks & Technologies Private Limited,Dehradun,"₹ 3,00,000 - 4,00,000",Effective Communication,https://internshala.com/job/detail/fresher-academic-counselor-job-in-dehradun-at-acs-networks-technologies-private-limited1744722002,Internshala
Integration Specialist,Flickstree,Work from home,"₹ 3,00,000 - 4,00,000","Affiliate Marketing,",https://internshala.com/job/detail/fresher-remote-integration-specialist-job-at-flickstree1744718802,Internshala
Junior Social Media Marketing Executive,PitchOnePR,Gurgaon,"₹ 3,00,000 - 4,00,000","Creative Writing, Email Marketing",https://internshala.com/job/detail/junior-social-media-marketing-executive-job-in-gurgaon-at-pitchonepr1744714917,Internshala
Business Development Executive,Domnic Lewis Private Limited,Mumbai,"₹ 3,00,000 - 4,00,000","Effective Communication,Life Insurance",https://internshala.com/job/detail/business-development-executive-job-in-mumbai-at-mohini-shingote1744710250,Internshala
AI & Automation Developer,CanadaMentors,Work from home,"₹ 3,00,000 - 4,00,000","Artificial intelligence, JavaScript, Python,   ",https://internshala.com/job/detail/remote-ai-automation-developer-job-at-canadamentors1744705354,Internshala
Business Development Executive,InfyBytes AI Labs Private Limited,Work from home,"₹ 3,00,000 - 4,00,000","English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken)",https://internshala.com/job/detail/fresher-remote-business-development-executive-job-at-infybytes-ai-labs-private-limited1744689701,Internshala
Associate Accountant,Arcatron Mobility Private Limited,Pune,"₹ 3,00,000 - 4,00,000","Invoice Processing, MS-Excel, Tally",https://internshala.com/job/detail/associate-accountant-job-in-pune-at-arcatron-mobility-private-limited1744626895,Internshala
Video Content Creator,Subinfra Project Management Private Limited,Gurgaon,"₹ 3,00,000 - 4,00,000","AutoCAD, Canva, Digital Advertising, Digital Marketing, English Proficiency (Spoken), Image Editing, Photography, Video Editing, Videography, Video Marketing",https://internshala.com/job/detail/fresher-video-content-creator-job-in-gurgaon-at-subinfra-project-management-private-limited1744607382,Internshala
WordPress Developer,SANVER INDIA PRIVATE LIMITED,Mumbai,"₹ 3,00,000 - 4,00,000","CSS, HTML, JavaScript, PHP, Search Engine Optimization (SEO), WordPress,,",https://internshala.com/job/detail/wordpress-developer-job-in-mumbai-at-sanver-india-private-limited1744437422,Internshala
Graphic Designer & Video Editor (Hybrid Position),Giftorz Digital,Chennai,"₹ 3,00,000 - 4,00,000","Adobe After Effects, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Capcut, Figma, Graphic Design, Video Editing",https://internshala.com/job/detail/graphic-designer-video-editor-hybrid-position-job-in-chennai-at-giftorz-digital1744368885,Internshala
Junior Architect,S. P. Consulting Engineers Pvt. Ltd.,Mumbai,"₹ 3,00,000 - 4,00,000","AutoCAD, Autodesk 3ds Max, MS-Office,",https://internshala.com/job/detail/junior-architect-job-in-mumbai-at-s-p-consulting-engineers-pvt-ltd1744364245,Internshala
Associate Accountant,MentorKart (DGguru Learning Solutions Private Limited),Delhi,"₹ 3,00,000 - 4,00,000","Accounting, Advanced Excel, English Proficiency (Spoken), Financial Modeling, GST, MS-Excel, Taxation",https://internshala.com/job/detail/fresher-associate-accountant-job-in-multiple-locations-at-mentorkart-dgguru-learning-solutions-private-limited1744359119,Internshala
Client Acquisition Specialist,MoneyKonnect LLP,Noida,"₹ 3,00,000 - 4,00,000","Effective Communication, English Proficiency (Written), Management, MIS, MS-Excel, MS-Office",https://internshala.com/job/detail/client-acquisition-specialist-job-in-noida-at-moneykonnect-llp1744343376,Internshala
Graphic Designer,Decode Growth,Delhi,"₹ 3,00,000 - 4,00,000","Adobe Illustrator, Adobe Photoshop, CorelDRAW,",https://internshala.com/job/detail/graphic-designer-job-in-delhi-at-decode-growth1744279954,Internshala
Tender Engineer,POLAR TECHNOLOGIES,Delhi,"₹ 3,00,000 - 4,00,000","Computer skills, Process Management",https://internshala.com/job/detail/tender-engineer-job-in-delhi-at-polar-technologies1744272924,Internshala
Administration Supervisor,Marut Air Systems Private Limited,Ahmedabad,"₹ 3,00,000 - 4,00,000","Logistics Management, Manpower Planning,",https://internshala.com/job/detail/administration-supervisor-job-in-ahmedabad-at-marut-air-systems-private-limited1744271937,Internshala
Inside Sales Representative,Raj Placement Services,Mumbai,"₹ 3,00,000 - 4,00,000","Business Development, Cold Calling, Inside Sales, Lead Generation",https://internshala.com/job/detail/inside-sales-representative-job-in-mumbai-at-raj-placement-services1744214426,Internshala
Junior Lead Generation Associate,OnGrid,Gurgaon,"₹ 3,00,000 - 4,00,000","Effective Communication, Lead Generation,",https://internshala.com/job/detail/fresher-junior-lead-generation-associate-job-in-gurgaon-at-ongrid1744212684,Internshala
Trader (Marathi Speaking0,The Trading Fox,Jaipur,"₹ 3,00,000 - 4,00,000","Blockchain, Customer Acquisition, Effective Communication, English Proficiency (Spoken), Marathi Proficiency(Spoken), Market Analysis, Market research, Stock Trading,   ",https://internshala.com/job/detail/fresher-trader-marathi-speaking0-job-in-jaipur-at-the-trading-fox1744202142,Internshala
Corporate Sales Associate,Udshaa,Work from home,"₹ 3,00,000 - 4,00,000","Sales,   ",https://internshala.com/job/detail/remote-corporate-sales-associate-job-at-udshaa1744192206,Internshala
Publisher Acquisition Specialist,Zone Media,Delhi,"₹ 3,00,000 - 4,00,000","Digital Marketing, Effective Communication, Email Marketing,",https://internshala.com/job/detail/fresher-publisher-acquisition-specialist-job-in-multiple-locations-at-zone-media1744184709,Internshala
Accountant,Rx Divine Medicos,Delhi,"₹ 3,00,000 - 4,00,000","Accounting, GST, MS-Excel, MS-Office, Statutory compliances, Tally,   ",https://internshala.com/job/detail/accountant-job-in-delhi-at-rx-divine-medicos1744181354,Internshala
Graphic Designer,Calling Dreams,Work from home,"₹ 3,00,000 - 4,00,000","Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro",https://internshala.com/job/detail/remote-graphic-designer-job-at-calling-dreams1744133501,Internshala
Digital Marketing Executive,Digichorus Technologies Private Limited,Pune,"₹ 3,00,000 - 4,00,000","Blogging, Content Writing, Email Marketing, English Proficiency (Spoken), Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing,",https://internshala.com/job/detail/fresher-digital-marketing-executive-job-in-pune-at-digichorus-technologies-private-limited1744111032,Internshala
Interior Designer,Avatansa Construction,Patna,"₹ 3,00,000 - 4,00,000","Adobe Photoshop, AutoCAD, Autodesk 3ds Max, Autodesk Revit, Google SketchUp, Lumion, V-Ray",https://internshala.com/job/detail/interior-designer-job-in-patna-at-avatansa-design-studio1744107183,Internshala
Associate Web Developer,Agha Caravan International,Mumbai,"₹ 3,00,000 - 4,00,000","CSS, HTML, JavaScript, MySQL, PHP, React, WordPress",https://internshala.com/job/detail/associate-web-developer-job-in-mumbai-at-agha-caravan-international1744097416,Internshala
Social Media Associate,Social Panache,Bangalore,"₹ 3,00,000 - 4,00,000","Canva, Graphic Design, Social Media Marketing",https://internshala.com/job/detail/remote-social-media-associate-job-at-social-panache1744089362,Internshala
iOS App Developer,ReNote AI Private Limited,Hyderabad,"₹ 3,00,000 - 4,00,000","iOS, Objective C, REST API, Swift, Xcode,",https://internshala.com/job/detail/ios-app-developer-job-in-hyderabad-at-renote-ai-private-limited1744027803,Internshala
DevOps Engineer,ReNote AI Private Limited,Hyderabad,"₹ 3,00,000 - 4,00,000","Amazon Web Services (AWS), Docker, GitHub, Google Cloud Platforms (GCP), Kubernetes, Linux, Microsoft Azure, Networking, Security tools,",https://internshala.com/job/detail/devops-engineer-job-in-hyderabad-at-renote-ai-private-limited1744027357,Internshala
Executive - Influencer Marketing,Pilgrim,Mumbai,"₹ 3,00,000 - 4,00,000","Influencer Marketing, Social Media Marketing,",https://internshala.com/job/detail/executive-influencer-marketing-job-in-mumbai-at-pilgrim1744025949,Internshala
Badminton Coach,Netplay Sports Private Limited,Hyderabad,"₹ 3,00,000 - 4,00,000","Cash Flow Management, Client Relationship Management (CRM), English Proficiency (Spoken), MS-Excel, Sales Management, Sports",https://internshala.com/job/detail/badminton-coach-job-in-hyderabad-at-netplay-sports-private-limited1744024195,Internshala
AI Automation Specialist,CanadaMentors,Work from home,"₹ 3,00,000 - 4,00,000","Artificial intelligence, Automation, JavaScript, Python,   ",https://internshala.com/job/detail/remote-ai-automation-specialist-job-at-canadamentors1744018218,Internshala
Software Sales Consultant,EVA2Z,Noida,"₹ 3,00,000 - 4,00,000","B2B Sales, Effective Communication",https://internshala.com/job/detail/software-sales-consultant-job-in-noida-at-eva2z1744017247,Internshala
Tinkering Lab Coordinator,Experifun Educational Services,Chengalpattu,"₹ 3,00,000 - 4,00,000","Arduino, MS-Excel, Python,   ",https://internshala.com/job/detail/tinkering-lab-coordinator-job-in-chengalpattu-at-experifun-educational-services1744014693,Internshala
Associate Supply Chain Manager (SCM),Peore,Gurgaon,"₹ 3,00,000 - 4,00,000","English Proficiency (Spoken), English Proficiency (Written), Inventory Management, Logistics Management, MS-Excel, MS-Office, Operations, Order Management, Warehouse Management,",https://internshala.com/job/detail/fresher-associate-supply-chain-manager-scm-job-in-gurgaon-at-peore1744010354,Internshala
Associate Software Developer,Nuchange Informatics LLP,Thiruvananthapuram,"₹ 3,00,000 - 4,00,000","Java, React, Spring MVC,",https://internshala.com/job/detail/fresher-associate-software-developer-job-in-multiple-locations-at-nuchange-informatics-llp1743768405,Internshala
Sales Executive,Fivebro Water Services Private Limited,Ahmedabad,"₹ 3,00,000 - 4,00,000",N/A,https://internshala.com/job/detail/sales-executive-job-in-ahmedabad-at-fivebro-water-services-private-limited1746059425,Internshala
Customer Relationship Management (CRM),Reliance Retail,Noida,"₹ 3,00,000 - 4,00,000",N/A,https://internshala.com/job/detail/customer-relationship-management-crm-job-in-noida-at-reliance-retail1744763421,Internshala
Business Development Executive,Investors Devine,Noida,"₹ 3,00,000 - 3,96,000","Effective Communication, English Proficiency (Spoken), Interpersonal skills, MS-Excel, Negotiation",https://internshala.com/job/detail/fresher-business-development-executive-job-in-noida-at-investors-devine1744706110,Internshala
Associate Video Editor,Subinfra Project Management Private Limited,Gurgaon,"₹ 3,00,000 - 3,90,000","Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Canva, Final Cut Pro, Video Editing, Video Making",https://internshala.com/job/detail/associate-video-editor-job-in-gurgaon-at-subinfra-project-management-private-limited1746261509,Internshala
Junior UX/UI Designer,CasePilot,Work from home,"₹ 3,00,000 - 3,90,000","UI & UX Design, User Interface (UI) Development, UX Research",https://internshala.com/job/detail/remote-junior-ux-ui-designer-job-at-casepilot1746178297,Internshala
Sales & Business Development Executive,GenAI People,Work from home,"₹ 3,00,000 - 3,84,000","Online Teaching, Sales",https://internshala.com/job/detail/fresher-remote-sales-business-development-executive-job-at-genai-people1745382026,Internshala
Development Executive,GenAI People,Work from home,"₹ 3,00,000 - 3,84,000","Online Teaching, Sales",https://internshala.com/job/detail/fresher-remote-development-executive-job-at-genai-people1744180816,Internshala
Hiring Associate,WeMakeScholars,Karimnagar,"₹ 3,00,000 - 3,80,000","English Proficiency (Spoken), Malayalam Proficiency (Spoken),",https://internshala.com/job/detail/fresher-hiring-associate-job-in-multiple-locations-at-wemakescholars1745827859,Internshala
Talent Acquisition Executive,WeMakeScholars,Anantapur,"₹ 3,00,000 - 3,80,000","English Proficiency (Spoken), Malayalam Proficiency (Spoken), Tamil Proficiency (Spoken),",https://internshala.com/job/detail/fresher-talent-acquisition-executive-job-in-multiple-locations-at-wemakescholars1745819325,Internshala
BPO Chat Support Executive,Saksham Agarwal,Jaipur,"₹ 3,00,000 - 3,72,000","Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills,Cab/Transportation facility, Life Insurance",https://internshala.com/job/detail/fresher-bpo-chat-support-executive-job-in-jaipur-at-saksham-agarwal1744699604,Internshala
Field Sales Executive,Nixa Branding Solutions,Hyderabad,"₹ 3,00,000 - 3,70,000","English Proficiency (Spoken), Hindi Proficiency (Spoken)",https://internshala.com/job/detail/field-sales-executive-job-in-hyderabad-at-nixa-branding-solutions1746434517,Internshala
Motion Editor,Simit Bhagat Studios,Mumbai,"₹ 3,00,000 - 3,60,000","Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe Photoshop,",https://internshala.com/job/detail/fresher-motion-editor-job-in-mumbai-at-simit-bhagat-studios1746611460,Internshala
Social Media Manager,NxtJob,Work from home,"₹ 3,00,000 - 3,60,000","Canva, Social Media Marketing,   ",https://internshala.com/job/detail/remote-social-media-manager-job-at-nxtjob1746620274,Internshala
Visa Counselor,Upskill Overseas Education,Ahmedabad,"₹ 3,00,000 - 3,60,000","Client Relationship Management (CRM), Computer skills, English Proficiency (Spoken), Interpersonal skills",https://internshala.com/job/detail/visa-counselor-job-in-ahmedabad-at-upskill-overseas-education1746523905,Internshala
Business Development Executive,LevelApp,Hyderabad,"₹ 3,00,000 - 3,60,000","Client Interaction, Client Relationship, Client Relationship Management (CRM), English Proficiency (Spoken), English Proficiency (Written), Sales,",https://internshala.com/job/detail/fresher-business-development-executive-job-in-hyderabad-at-levelapp1746272052,Internshala
Customer Service Representative (Front Desk)/Receptionist,ODMAX,Gurgaon,"₹ 3,00,000 - 3,60,000","Client Relationship, Computer skills, Customer Support, Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, Time Management",https://internshala.com/job/detail/customer-service-representative-front-desk-receptionist-job-in-gurgaon-at-odmax1745995355,Internshala
Business Research Associate,Networkbay Retail,Mumbai,"₹ 3,00,000 - 3,60,000","English Proficiency (Spoken), English Proficiency (Written), Research and Analytics",https://internshala.com/job/detail/fresher-business-research-associate-job-in-mumbai-at-networkbay-retail1746076203,Internshala
Social Media Executive,ONE XL INFO LLP,Pimpri-Chinchwad,"₹ 3,00,000 - 3,60,000","Content Marketing, Instagram Marketing, LinkedIn Marketing, Social Media Marketing",https://internshala.com/job/detail/social-media-executive-job-in-pimpri-chinchwad-at-one-xl-info-llp1746073169,Internshala
Associate Recruiter,Internovo Ventures Private Limited,Mumbai,"₹ 3,00,000 - 3,60,000","Effective Communication, English Proficiency (Spoken), Recruitment,",https://internshala.com/job/detail/associate-recruiter-job-in-mumbai-at-internovo-ventures-private-limited1745307095,Internshala
Business Development Associate,Sped@home,Navi Mumbai,"₹ 3,00,000 - 3,60,000","Email Marketing, English Proficiency (Spoken), English Proficiency (Written)",https://internshala.com/job/detail/business-development-associate-job-in-multiple-locations-at-spedhome1745947985,Internshala
Business Development Executive,IQ Minerals & Metals,Mumbai,"₹ 3,00,000 - 3,60,000","Email Marketing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel,   ",https://internshala.com/job/detail/fresher-business-development-executive-job-in-mumbai-at-iq-minerals-metals1744614500,Internshala
Marketing Manager,MentorBoxx,Pune,"₹ 3,00,000 - 3,60,000","Client Relationship Management (CRM), Marketing",https://internshala.com/job/detail/marketing-manager-job-in-pune-at-mentorboxx1746184036,Internshala
